1577011.777769 5101186.000008              CB82-08 404.00 1.4103 -10.8192
1576993.805538 5101203.250016              CB82-08 405.00 1.4097 -10.1977
1576975.833346 5101220.499988              CB82-08 406.00 1.4094 -9.65063
1576957.861115 5101237.749996              CB82-08 407.00 1.4091 -9.61652
1576939.888885 5101255.000004              CB82-08 408.00 1.4088 -9.70586
1576921.916654 5101272.250012              CB82-08 409.00 1.4087 -9.79947
1576903.944462 5101289.499984              CB82-08 410.00 1.4086 -10.5756
1576885.972231 5101306.749992              CB82-08 411.00 1.4085 -11.6088
1576868.000000 5101324.000000              CB82-08 412.00 1.4085 -11.7968
1576849.500000 5101340.687500              CB82-08 413.00 1.4084 -11.4966
1576831.000000 5101357.375000              CB82-08 414.00 1.4084 -11.2943
1576812.500000 5101374.062500              CB82-08 415.00 1.4083 -10.8843
1576794.000000 5101390.750000              CB82-08 416.00 1.4080 -10.8997
1576775.500000 5101407.437500              CB82-08 417.00 1.4077 -10.3019
1576757.000000 5101424.125000              CB82-08 418.00 1.4075 -9.53727
1576738.500000 5101440.812500              CB82-08 419.00 1.4075 -9.31769
1576720.000000 5101457.500000              CB82-08 420.00 1.4072 -8.97528
1576701.500000 5101474.187500              CB82-08 421.00 1.4068 -9.14334
1576683.000000 5101490.875000              CB82-08 422.00 1.4066 -9.98449
1576664.500000 5101507.562500              CB82-08 423.00 1.4066 -10.2108
1576646.000000 5101524.250000              CB82-08 424.00 1.4065 -9.8637
1576627.500000 5101540.937500              CB82-08 425.00 1.4063 -10.1351
1576609.000000 5101557.625000              CB82-08 426.00 1.4064 -10.2169
1576590.500000 5101574.312500              CB82-08 427.00 1.4064 -9.29012
1576572.000000 5101591.000000              CB82-08 428.00 1.4062 -8.43297
1576554.157895 5101608.157895              CB82-08 429.00 1.4061 -8.16614
