1578525.702711 5099701.783776              CB82-08 319.00 1.4474 0
1578507.972972 5099719.162163              CB82-08 320.00 1.4476 0
1578490.243253 5099736.540531              CB82-08 321.00 1.4474 0
1578472.513514 5099753.918918              CB82-08 322.00 1.4473 0
1578454.783775 5099771.297306              CB82-08 323.00 1.4474 0
1578437.054056 5099788.675674              CB82-08 324.00 1.4472 0
1578419.324317 5099806.054061              CB82-08 325.00 1.4468 0
1578401.594598 5099823.432429              CB82-08 326.00 1.4463 0
1578383.864860 5099840.810816              CB82-08 327.00 1.4460 0
1578366.135140 5099858.189184              CB82-08 328.00 1.4459 0
1578348.405421 5099875.567552              CB82-08 329.00 1.4461 0
1578330.675663 5099892.945958              CB82-08 330.00 1.4461 0
1578312.945944 5099910.324326              CB82-08 331.00 1.4459 0
1578295.216225 5099927.702694              CB82-08 332.00 1.4456 0
1578277.486506 5099945.081062              CB82-08 333.00 1.4453 0
1578259.756747 5099962.459469              CB82-08 334.00 1.4450 0
1578242.027028 5099979.837837              CB82-08 335.00 1.4447 0
1578224.297309 5099997.216205              CB82-08 336.00 1.4448 0
1578206.567551 5100014.594611              CB82-08 337.00 1.4449 0
1578188.837831 5100031.972979              CB82-08 338.00 1.4447 0
1578171.108112 5100049.351347              CB82-08 339.00 1.4442 0
1578153.378393 5100066.729715              CB82-08 340.00 1.4437 0
1578135.648635 5100084.108122              CB82-08 341.00 1.4437 0
1578117.918916 5100101.486490              CB82-08 342.00 1.4438 0
1578100.189197 5100118.864858              CB82-08 343.00 1.4437 0
1578082.459477 5100136.243226              CB82-08 344.00 1.4434 0
1578064.729719 5100153.621632              CB82-08 345.00 1.4431 0
1578047.000000 5100171.000000              CB82-08 346.00 1.4430 0
1578029.176471 5100188.764706              CB82-08 347.00 1.4428 0
1578011.352941 5100206.529412              CB82-08 348.00 1.4425 0
1577993.529410 5100224.294119              CB82-08 349.00 1.4420 0
1577975.705882 5100242.058824              CB82-08 350.00 1.4414 0
1577957.882349 5100259.823533              CB82-08 351.00 1.4410 0
1577940.058821 5100277.588238              CB82-08 352.00 1.4408 0
1577922.235293 5100295.352943              CB82-08 353.00 1.4405 0
1577904.411764 5100313.117648              CB82-08 354.00 1.4404 0
