1578100.189197 5100118.864858              CB82-08 343.00 1.6058 -6.60563
1578082.459477 5100136.243226              CB82-08 344.00 1.6060 -6.6072
1578064.729719 5100153.621632              CB82-08 345.00 1.6061 -6.9115
1578047.000000 5100171.000000              CB82-08 346.00 1.6056 -7.10969
1578029.176471 5100188.764706              CB82-08 347.00 1.6047 -8.09954
1578011.352941 5100206.529412              CB82-08 348.00 1.6041 -9.13428
1577993.529410 5100224.294119              CB82-08 349.00 1.6037 -9.39769
1577975.705882 5100242.058824              CB82-08 350.00 1.6036 -8.29828
1577957.882349 5100259.823533              CB82-08 351.00 1.6035 -7.77381
1577940.058821 5100277.588238              CB82-08 352.00 1.6033 -8.19162
1577922.235293 5100295.352943              CB82-08 353.00 1.6032 -8.31799
1577904.411764 5100313.117648              CB82-08 354.00 1.6031 -8.28105
1577886.588227 5100330.882361              CB82-08 355.00 1.6030 -8.50027
1577868.764698 5100348.647066              CB82-08 356.00 1.6027 -8.881
1577850.941170 5100366.411771              CB82-08 357.00 1.6023 -8.97041
1577833.117642 5100384.176476              CB82-08 358.00 1.6017 -8.14762
1577815.294113 5100401.941181              CB82-08 359.00 1.6009 -6.99167
1577797.470585 5100419.705886              CB82-08 360.00 1.6002 -6.05736
1577779.647057 5100437.470590              CB82-08 361.00 1.5998 -6.1658
1577761.823528 5100455.235295              CB82-08 362.00 1.5997 -7.04625
1577744.000000 5100473.000000              CB82-08 363.00 1.5996 -7.60754
1577726.384615 5100490.692308              CB82-08 364.00 1.5997 -7.00869
1577708.769229 5100508.384617              CB82-08 365.00 1.6004 -5.13245
1577691.153846 5100526.076923              CB82-08 366.00 1.6016 -3.28859
1577673.538459 5100543.769233              CB82-08 367.00 1.6023 -2.61674
1577655.923075 5100561.461540              CB82-08 368.00 1.6017 -2.40327
1577638.307692 5100579.153847              CB82-08 369.00 1.6005 -3.50149
1577620.692301 5100596.846160              CB82-08 370.00 1.6003 -4.55246
1577603.076918 5100614.538467              CB82-08 371.00 1.5997 -5.17519
1577585.461534 5100632.230773              CB82-08 372.00 1.5990 -4.50846
1577567.846151 5100649.923080              CB82-08 373.00 1.5985 -3.82195
1577550.230767 5100667.615387              CB82-08 374.00 1.5986 -3.97646
1577532.615384 5100685.307693              CB82-08 375.00 1.5991 -5.13389
1577515.000000 5100703.000000              CB82-08 376.00 1.5994 -6.02188
1577497.027778 5100720.250000              CB82-08 377.00 1.5993 -5.9151
1577479.055555 5100737.500000              CB82-08 378.00 1.5988 -5.17726
1577461.083332 5100754.750002              CB82-08 379.00 1.5981 -4.38336
1577443.111111 5100772.000001              CB82-08 380.00 1.5973 -3.95164
1577425.138885 5100789.250004              CB82-08 381.00 1.5969 -3.56359
1577407.166663 5100806.500003              CB82-08 382.00 1.5960 -3.17561
1577389.194442 5100823.750002              CB82-08 383.00 1.5947 -3.40747
1577371.222221 5100841.000001              CB82-08 384.00 1.5950 -3.69603
1577353.250000 5100858.250000              CB82-08 385.00 1.5964 -4.17023
1577335.277769 5100875.500008              CB82-08 386.00 1.5969 -4.98842
1577317.305558 5100892.749998              CB82-08 387.00 1.5967 -5.93879
1577299.333327 5100910.000006              CB82-08 388.00 1.5967 -6.27499
1577281.361115 5100927.249996              CB82-08 389.00 1.5968 -6.45111
1577263.388885 5100944.500004              CB82-08 390.00 1.5969 -6.84057
1577245.416673 5100961.749994              CB82-08 391.00 1.5969 -6.23264
1577227.444442 5100979.000002              CB82-08 392.00 1.5962 -5.31941
1577209.472231 5100996.249992              CB82-08 393.00 1.5958 -4.44838
1577191.500000 5101013.500000              CB82-08 394.00 1.5961 -3.85941
1577173.527769 5101030.750008              CB82-08 395.00 1.5967 -4.34184
1577155.555538 5101048.000016              CB82-08 396.00 1.5980 -3.81237
1577137.583346 5101065.249988              CB82-08 397.00 1.5990 -2.7925
1577119.611115 5101082.499996              CB82-08 398.00 1.5997 -2.95365
1577101.638885 5101099.750004              CB82-08 399.00 1.5995 -3.95522
1577083.666654 5101117.000012              CB82-08 400.00 1.5990 -4.80519
1577065.694462 5101134.249984              CB82-08 401.00 1.5986 -4.8646
1577047.722231 5101151.499992              CB82-08 402.00 1.5975 -4.17192
1577029.750000 5101168.750000              CB82-08 403.00 1.5971 -4.52985
1577011.777769 5101186.000008              CB82-08 404.00 1.5969 -5.12314
1576993.805538 5101203.250016              CB82-08 405.00 1.5967 -5.50924
1576975.833346 5101220.499988              CB82-08 406.00 1.5966 -5.4607
1576957.861115 5101237.749996              CB82-08 407.00 1.5958 -5.22188
1576939.888885 5101255.000004              CB82-08 408.00 1.5954 -5.54773
1576921.916654 5101272.250012              CB82-08 409.00 1.5950 -5.94468
1576903.944462 5101289.499984              CB82-08 410.00 1.5952 -6.43605
1576885.972231 5101306.749992              CB82-08 411.00 1.5953 -6.26582
1576868.000000 5101324.000000              CB82-08 412.00 1.5950 -5.60501
1576849.500000 5101340.687500              CB82-08 413.00 1.5947 -5.71557
1576831.000000 5101357.375000              CB82-08 414.00 1.5946 -6.08772
1576812.500000 5101374.062500              CB82-08 415.00 1.5944 -5.74728
1576794.000000 5101390.750000              CB82-08 416.00 1.5942 -4.62846
1576775.500000 5101407.437500              CB82-08 417.00 1.5931 -4.21867
1576757.000000 5101424.125000              CB82-08 418.00 1.5923 -5.01686
1576738.500000 5101440.812500              CB82-08 419.00 1.5915 -6.34188
1576720.000000 5101457.500000              CB82-08 420.00 1.5909 -6.95831
1576701.500000 5101474.187500              CB82-08 421.00 1.5905 -7.0868
1576683.000000 5101490.875000              CB82-08 422.00 1.5911 -6.35765
1576664.500000 5101507.562500              CB82-08 423.00 1.5916 -5.39924
